0	Phoenix Wright: Dual Destinies	Ace Attorney	dual destinies	phoenix wright dual destinies	ace attorney dual destinies								
1	Phoenix Wright: Ace Attorney	Ace Attorney	ace attorney	phoenix wright ace attorney	ace attorney 1	phoenix wright							
2	Phoenix Wright: Justice for All	Ace Attorney	phoenix wright justice for all	ace attorney 2	justice for all	ace attorney justice for all							
3	Phoenix Wright: Trials and Tribulations	Ace Attorney	ace attorney 3	trials and tribulations	pwaatt	pw aa tt	pwaa tt	phoenix wright trials and tribulations	ace attorney trials and tribulations	phoenix wright ace attorney trials and tribulations			
4	Apollo Justice: Ace Attorney	Ace Attorney	apollo justice	apollo justice ace attorney	Apollo Justice: Ace Attorney								
5	Ace Attorney Investigations	Ace Attorney	aai	edgeworth investigations	ace attorney: investigations	ace attorney miles edgeworth	ace attorney: miles edgeworth	ace attorney miles edgeworth investigations	ace attorney investigations miles edgeworth	aai1	aai 1		
6	Spirit of Justice	Ace Attorney	spirit of justice	ace attorney spirit of justice	ace attorney: spirit of justice	phoenix wright: ace attorney: spirit of justice	phoenix wright ace attorney spirit of justice	pw aa soj	pwsoj	aasoj	pwaasoj	aa soj	pw soj
7	Ape Escape 2	Ape Escape	ae2										
47	Bayonetta	Bayonetta	Bayonetta 1	Bayonetta 1									
48	BioShock Infinite	BioShock											
136	Modern Warfare 2	Call of Duty	mw2										
137	Modern Warfare 3	Call of Duty	mw3										
8	Catherine	Catherine											
9	Celeste	Celeste											
10	Celeste: Farewell	Celeste	celeste	celeste farewell	celeste: farewell	farewell							
134	Chrono Cross	Chrono											
135	Chrono Trigger	Chrono											
88	Conker's Bad Fur Day	Conker's Bad Fur Day	Conkers Bad Fur Day										
11	Trigger Happy Havoc	Danganronpa	danganronpa	dr1	trigger happy havoc	dr	drttt	dr ttt	dangan ronpa				
12	Goodbye Despair	Danganronpa	danganronpa 2	super danganronpa	super dangan ronpa	super danganronpa 2	super dangan ronpa 2	sdr2	dr2				
13	Killing Harmony	Danganronpa	danganronpa 3	dangan ronpa 3	danganronpa v3	dr v3	drv3	dangan ronpa v3	v3				
49	Death Stranding	Death Stranding											
14	DELTARUNE: Chapter 1	DELTARUNE	deltarune	deltarune chapter 1	delta rune	undertale 2							
89	Donkey Kong 64	Donkey Kong	dk64	dk 64									
139	DOOM	Doom											
95	DuckTales	DuckTales											
50	Eschatos	Eschatos											
93	Far Cry 3	Far Cry	fc3										
90	FEZ	FEZ											
51	FINAL FANTASY VII REMAKE	FINAL FANTASY	FFVIIR	FFVII									
